2025-05-10 10:21:14.977 | INFO     | __main__:main:190 - Инициализация моделей...
2025-05-10 10:21:14.977 | INFO     | __main__:load_model:22 - Загрузка модели rut5-base-sum...
2025-05-10 10:21:17.018 | INFO     | __main__:load_model:26 - Модель успешно загружена
2025-05-10 10:21:17.018 | INFO     | __main__:load_qa_model:35 - Загрузка модели для ответов на вопросы...
2025-05-10 10:21:18.380 | INFO     | __main__:load_qa_model:39 - Модель для ответов на вопросы успешно загружена
2025-05-10 10:21:18.380 | INFO     | __main__:load_translation_models:48 - Загрузка моделей для перевода...
2025-05-10 10:21:21.077 | INFO     | __main__:load_translation_models:57 - Модели для перевода успешно загружены
2025-05-10 10:21:21.086 | INFO     | __main__:main:207 - Подключено к Kafka
2025-05-10 10:21:21.087 | INFO     | __main__:main:213 - Начало обработки сообщений
2025-05-10 10:26:46.473 | INFO     | __main__:main:221 - Получено сообщение для суммаризации: ID=5045b755-d977-4c02-8077-462621767a42, длина текста=7000
2025-05-10 10:26:52.170 | INFO     | __main__:main:226 - Суммаризация завершена: ID=5045b755-d977-4c02-8077-462621767a42
2025-05-10 10:27:21.059 | INFO     | __main__:main:234 - Получен вопрос: ID=124bc607-da20-4ff6-ac75-5d2a9a577ebc, вопрос=Кто такой Виктор Геращенко?, длина контекста=7000
2025-05-10 10:27:21.060 | INFO     | __main__:answer_question:140 - Перевод вопроса на английский: Кто такой Виктор Геращенко?
2025-05-10 10:27:21.247 | INFO     | __main__:answer_question:142 - Переведенный вопрос: Who's Victor Gerashchenko?
2025-05-10 10:27:21.247 | INFO     | __main__:answer_question:147 - Перевод контекста на английский (первые 3000 символов)
2025-05-10 10:27:31.418 | INFO     | __main__:answer_question:149 - Контекст переведен на английский (длина: 2512)
2025-05-10 10:27:31.977 | INFO     | __main__:answer_question:169 - Получен ответ на английском: the former head of the central bank and ex-head of the board of directors of Yukos – Menatep Plato Lebedev
2025-05-10 10:27:32.332 | INFO     | __main__:answer_question:174 - Ответ переведен на русский: Бывший руководитель центрального банка и бывший руководитель совета директоров Юкоса - Менатеп Платон Лебедев
2025-05-10 10:27:32.333 | INFO     | __main__:main:239 - Ответ на вопрос подготовлен: ID=124bc607-da20-4ff6-ac75-5d2a9a577ebc
2025-05-10 10:28:04.755 | INFO     | __main__:main:234 - Получен вопрос: ID=0c0b6fdb-6611-4a6d-8571-e0adcb69e72f, вопрос=Куда пришел бывший глава Центробанка Виктор Геращенко?, длина контекста=7000
2025-05-10 10:28:04.756 | INFO     | __main__:answer_question:140 - Перевод вопроса на английский: Куда пришел бывший глава Центробанка Виктор Геращенко?
2025-05-10 10:28:05.038 | INFO     | __main__:answer_question:142 - Переведенный вопрос: Where did the former head of Central Bank Victor Gerashchenko go?
2025-05-10 10:28:05.038 | INFO     | __main__:answer_question:147 - Перевод контекста на английский (первые 3000 символов)
2025-05-10 10:28:15.938 | INFO     | __main__:answer_question:149 - Контекст переведен на английский (длина: 2512)
2025-05-10 10:28:16.473 | INFO     | __main__:answer_question:169 - Получен ответ на английском: to the bailiffs' office marching through the reforthy of the grey of jane's stock stock control package
2025-05-10 10:28:16.802 | INFO     | __main__:answer_question:174 - Ответ переведен на русский: в офис судебных приставов, маршируя через решетку серого пакета управления акциями Джейн
2025-05-10 10:28:16.802 | INFO     | __main__:main:239 - Ответ на вопрос подготовлен: ID=0c0b6fdb-6611-4a6d-8571-e0adcb69e72f
2025-05-10 10:44:11.366 | INFO     | __main__:main:221 - Получено сообщение для суммаризации: ID=2597f43a-7cdc-441a-b42e-173dd1b97ad9, длина текста=3301
2025-05-10 10:44:17.125 | INFO     | __main__:main:226 - Суммаризация завершена: ID=2597f43a-7cdc-441a-b42e-173dd1b97ad9
